AIRCRAFT_ID,AIRCRAFT_MANUFACTURER,AIRCRAFT_MODEL,SEAT_CAPACITY,REVIEW_ID
32,Boeing,Boeing 777,396,142010
19,Boeing,Boeing 737,189,154285
42,Unknown,Unknown,,156798
42,Unknown,Unknown,,85164
42,Unknown,Unknown,,98321
42,Unknown,Unknown,,83538
42,Unknown,Unknown,,58935
3,Airbus,A320,180,40222
42,Unknown,Unknown,,141665
42,Unknown,Unknown,,55652
42,Unknown,Unknown,,150465
42,Unknown,Unknown,,125557
42,Unknown,Unknown,,49136
34,Boeing,Boeing 787,242,91192
42,Unknown,Unknown,,115966
42,Unknown,Unknown,,41223
42,Unknown,Unknown,,69264
42,Unknown,Unknown,,39806
42,Unknown,Unknown,,70316
42,Unknown,Unknown,,82487
42,Unknown,Unknown,,69573
19,Boeing,Boeing 737,189,49139
42,Unknown,Unknown,,123056
42,Unknown,Unknown,,117858
42,Unknown,Unknown,,60810
42,Unknown,Unknown,,71338
42,Unknown,Unknown,,84825
42,Unknown,Unknown,,103742
19,Boeing,Boeing 737,189,156836
42,Unknown,Unknown,,97193
42,Unknown,Unknown,,93993
42,Unknown,Unknown,,107997
42,Unknown,Unknown,,152095
42,Unknown,Unknown,,137909
32,Boeing,Boeing 777,396,64414
26,Boeing,Boeing 757,200,113570
42,Unknown,Unknown,,151846
42,Unknown,Unknown,,68751
42,Unknown,Unknown,,113008
42,Unknown,Unknown,,107004
42,Unknown,Unknown,,112390
42,Unknown,Unknown,,56025
42,Unknown,Unknown,,102657
42,Unknown,Unknown,,137500
42,Unknown,Unknown,,76258
42,Unknown,Unknown,,101053
42,Unknown,Unknown,,36064
23,Boeing,Boeing 747,467,64147
42,Unknown,Unknown,,92536
42,Unknown,Unknown,,37362
42,Unknown,Unknown,,97579
42,Unknown,Unknown,,150419
19,Boeing,Boeing 737,189,57954
42,Unknown,Unknown,,84902
42,Unknown,Unknown,,108679
42,Unknown,Unknown,,93777
42,Unknown,Unknown,,148296
42,Unknown,Unknown,,104154
42,Unknown,Unknown,,140751
42,Unknown,Unknown,,100600
42,Unknown,Unknown,,99223
42,Unknown,Unknown,,104030
32,Boeing,Boeing 777,396,53202
42,Unknown,Unknown,,40235
34,Boeing,Boeing 787,242,108068
19,Boeing,Boeing 737,189,84214
42,Unknown,Unknown,,86752
42,Unknown,Unknown,,146565
3,Airbus,A320,180,76413
42,Unknown,Unknown,,87256
42,Unknown,Unknown,,66848
42,Unknown,Unknown,,156547
28,Boeing,Boeing 767,216,89317
42,Unknown,Unknown,,76699
42,Unknown,Unknown,,101635
42,Unknown,Unknown,,59311
42,Unknown,Unknown,,125961
23,Boeing,Boeing 747,467,55768
42,Unknown,Unknown,,102871
42,Unknown,Unknown,,107104
42,Unknown,Unknown,,118582
2,Airbus,A319,134,56756
42,Unknown,Unknown,,36607
42,Unknown,Unknown,,71201
42,Unknown,Unknown,,150570
42,Unknown,Unknown,,86958
42,Unknown,Unknown,,94126
42,Unknown,Unknown,,140577
32,Boeing,Boeing 777,396,136243
3,Airbus,A320,180,110881
42,Unknown,Unknown,,116112
42,Unknown,Unknown,,86838
42,Unknown,Unknown,,125098
42,Unknown,Unknown,,120136
42,Unknown,Unknown,,129388
23,Boeing,Boeing 747,467,121015
42,Unknown,Unknown,,82295
42,Unknown,Unknown,,127485
42,Unknown,Unknown,,122952
34,Boeing,Boeing 787,242,76827
42,Unknown,Unknown,,79302
42,Unknown,Unknown,,77229
19,Boeing,Boeing 737,189,51321
42,Unknown,Unknown,,103635
42,Unknown,Unknown,,112002
42,Unknown,Unknown,,37553
42,Unknown,Unknown,,60718
42,Unknown,Unknown,,157186
42,Unknown,Unknown,,98464
42,Unknown,Unknown,,114524
42,Unknown,Unknown,,118861
42,Unknown,Unknown,,85594
19,Boeing,Boeing 737,189,149373
42,Unknown,Unknown,,84600
42,Unknown,Unknown,,69125
28,Boeing,Boeing 767,216,67029
42,Unknown,Unknown,,37252
42,Unknown,Unknown,,116266
42,Unknown,Unknown,,50293
42,Unknown,Unknown,,74278
42,Unknown,Unknown,,101753
42,Unknown,Unknown,,155233
19,Boeing,Boeing 737,189,46494
42,Unknown,Unknown,,73233
42,Unknown,Unknown,,48056
42,Unknown,Unknown,,80919
32,Boeing,Boeing 777,396,56059
42,Unknown,Unknown,,101555
42,Unknown,Unknown,,116966
19,Boeing,Boeing 737,189,74834
42,Unknown,Unknown,,140669
42,Unknown,Unknown,,92436
42,Unknown,Unknown,,93108
42,Unknown,Unknown,,115343
26,Boeing,Boeing 757,200,54649
42,Unknown,Unknown,,40261
42,Unknown,Unknown,,145958
28,Boeing,Boeing 767,216,140175
32,Boeing,Boeing 777,396,138136
42,Unknown,Unknown,,145710
42,Unknown,Unknown,,105538
42,Unknown,Unknown,,76086
42,Unknown,Unknown,,116450
42,Unknown,Unknown,,93003
42,Unknown,Unknown,,88743
42,Unknown,Unknown,,92883
42,Unknown,Unknown,,139914
42,Unknown,Unknown,,119037
42,Unknown,Unknown,,127989
42,Unknown,Unknown,,103970
42,Unknown,Unknown,,145487
19,Boeing,Boeing 737,189,119403
42,Unknown,Unknown,,120218
42,Unknown,Unknown,,156590
42,Unknown,Unknown,,84211
42,Unknown,Unknown,,63877
42,Unknown,Unknown,,37669
42,Unknown,Unknown,,52649
42,Unknown,Unknown,,125384
42,Unknown,Unknown,,48471
42,Unknown,Unknown,,49402
42,Unknown,Unknown,,91432
42,Unknown,Unknown,,54471
42,Unknown,Unknown,,100174
42,Unknown,Unknown,,56998
42,Unknown,Unknown,,123133
42,Unknown,Unknown,,56338
42,Unknown,Unknown,,68015
42,Unknown,Unknown,,143004
42,Unknown,Unknown,,45581
42,Unknown,Unknown,,108956
42,Unknown,Unknown,,154646
42,Unknown,Unknown,,112075
42,Unknown,Unknown,,112861
3,Airbus,A320,180,132964
42,Unknown,Unknown,,119395
42,Unknown,Unknown,,67834
42,Unknown,Unknown,,71773
42,Unknown,Unknown,,87606
42,Unknown,Unknown,,36959
19,Boeing,Boeing 737,189,84161
42,Unknown,Unknown,,149417
42,Unknown,Unknown,,48278
42,Unknown,Unknown,,68329
42,Unknown,Unknown,,105525
42,Unknown,Unknown,,112055
42,Unknown,Unknown,,71289
42,Unknown,Unknown,,69096
42,Unknown,Unknown,,69211
42,Unknown,Unknown,,87609
42,Unknown,Unknown,,133434
23,Boeing,Boeing 747,467,43606
42,Unknown,Unknown,,47305
42,Unknown,Unknown,,52249
42,Unknown,Unknown,,41262
42,Unknown,Unknown,,139644
42,Unknown,Unknown,,141798
42,Unknown,Unknown,,138346
42,Unknown,Unknown,,103020
42,Unknown,Unknown,,142348
42,Unknown,Unknown,,86606
42,Unknown,Unknown,,92178
42,Unknown,Unknown,,41850
42,Unknown,Unknown,,112324
42,Unknown,Unknown,,70168
42,Unknown,Unknown,,73820
42,Unknown,Unknown,,148616
42,Unknown,Unknown,,126064
42,Unknown,Unknown,,99330
42,Unknown,Unknown,,117933
42,Unknown,Unknown,,56349
42,Unknown,Unknown,,136120
42,Unknown,Unknown,,109140
42,Unknown,Unknown,,37522
42,Unknown,Unknown,,41518
42,Unknown,Unknown,,139203
23,Boeing,Boeing 747,467,60671
42,Unknown,Unknown,,94078
42,Unknown,Unknown,,72589
42,Unknown,Unknown,,150194
42,Unknown,Unknown,,132715
42,Unknown,Unknown,,88750
42,Unknown,Unknown,,99149
42,Unknown,Unknown,,116306
42,Unknown,Unknown,,131316
42,Unknown,Unknown,,46770
42,Unknown,Unknown,,37991
42,Unknown,Unknown,,108146
42,Unknown,Unknown,,135645
42,Unknown,Unknown,,102292
42,Unknown,Unknown,,41191
42,Unknown,Unknown,,124965
42,Unknown,Unknown,,34990
42,Unknown,Unknown,,136493
42,Unknown,Unknown,,125774
42,Unknown,Unknown,,152678
32,Boeing,Boeing 777,396,106917
42,Unknown,Unknown,,51781
42,Unknown,Unknown,,57716
42,Unknown,Unknown,,67251
42,Unknown,Unknown,,117782
42,Unknown,Unknown,,154198
42,Unknown,Unknown,,101876
42,Unknown,Unknown,,148450
42,Unknown,Unknown,,100643
42,Unknown,Unknown,,85721
42,Unknown,Unknown,,75678
19,Boeing,Boeing 737,189,107442
42,Unknown,Unknown,,67836
42,Unknown,Unknown,,76263
42,Unknown,Unknown,,85347
42,Unknown,Unknown,,40448
42,Unknown,Unknown,,63931
42,Unknown,Unknown,,136236
42,Unknown,Unknown,,97024
42,Unknown,Unknown,,38012
42,Unknown,Unknown,,86733
42,Unknown,Unknown,,36724
42,Unknown,Unknown,,40101
42,Unknown,Unknown,,117573
42,Unknown,Unknown,,121622
42,Unknown,Unknown,,117889
42,Unknown,Unknown,,139736
19,Boeing,Boeing 737,189,132634
42,Unknown,Unknown,,97858
19,Boeing,Boeing 737,189,70867
42,Unknown,Unknown,,102385
42,Unknown,Unknown,,121921
42,Unknown,Unknown,,110422
42,Unknown,Unknown,,38390
42,Unknown,Unknown,,108795
42,Unknown,Unknown,,83994
42,Unknown,Unknown,,37524
42,Unknown,Unknown,,82825
42,Unknown,Unknown,,134574
28,Boeing,Boeing 767,216,88631
42,Unknown,Unknown,,116268
42,Unknown,Unknown,,49264
42,Unknown,Unknown,,147311
42,Unknown,Unknown,,151350
19,Boeing,Boeing 737,189,88285
42,Unknown,Unknown,,150104
42,Unknown,Unknown,,100153
42,Unknown,Unknown,,53204
42,Unknown,Unknown,,115355
42,Unknown,Unknown,,140760
42,Unknown,Unknown,,135450
42,Unknown,Unknown,,156560
42,Unknown,Unknown,,136738
42,Unknown,Unknown,,115802
42,Unknown,Unknown,,79205
19,Boeing,Boeing 737,189,54239
23,Boeing,Boeing 747,467,157019
42,Unknown,Unknown,,65622
42,Unknown,Unknown,,111637
42,Unknown,Unknown,,62229
42,Unknown,Unknown,,66447
42,Unknown,Unknown,,49227
42,Unknown,Unknown,,74623
42,Unknown,Unknown,,123733
42,Unknown,Unknown,,37516
42,Unknown,Unknown,,92920
42,Unknown,Unknown,,108942
42,Unknown,Unknown,,123837
42,Unknown,Unknown,,68410
42,Unknown,Unknown,,129441
42,Unknown,Unknown,,70219
42,Unknown,Unknown,,136336
42,Unknown,Unknown,,96562
42,Unknown,Unknown,,94405
34,Boeing,Boeing 787,242,87153
42,Unknown,Unknown,,43414
42,Unknown,Unknown,,123788
42,Unknown,Unknown,,115796
42,Unknown,Unknown,,98452
19,Boeing,Boeing 737,189,71911
19,Boeing,Boeing 737,189,47049
32,Boeing,Boeing 777,396,49621
42,Unknown,Unknown,,59743
42,Unknown,Unknown,,140490
42,Unknown,Unknown,,45337
42,Unknown,Unknown,,118172
42,Unknown,Unknown,,127704
42,Unknown,Unknown,,90540
19,Boeing,Boeing 737,189,82978
26,Boeing,Boeing 757,200,85070
42,Unknown,Unknown,,89165
42,Unknown,Unknown,,145583
42,Unknown,Unknown,,150249
42,Unknown,Unknown,,114344
42,Unknown,Unknown,,70582
42,Unknown,Unknown,,112522
42,Unknown,Unknown,,68174
23,Boeing,Boeing 747,467,54841
42,Unknown,Unknown,,67520
42,Unknown,Unknown,,106390
42,Unknown,Unknown,,82548
42,Unknown,Unknown,,52630
42,Unknown,Unknown,,139729
32,Boeing,Boeing 777,396,45885
20,,Boeing 738,,46725
30,,Boeing 772,,47038
19,Boeing,Boeing 737,189,90677
42,Unknown,Unknown,,89196
34,Boeing,Boeing 787,242,116795
42,Unknown,Unknown,,89754
42,Unknown,Unknown,,35382
42,Unknown,Unknown,,105528
42,Unknown,Unknown,,116297
42,Unknown,Unknown,,118648
32,Boeing,Boeing 777,396,93612
42,Unknown,Unknown,,148729
42,Unknown,Unknown,,133602
42,Unknown,Unknown,,151834
42,Unknown,Unknown,,59953
42,Unknown,Unknown,,115105
42,Unknown,Unknown,,124643
42,Unknown,Unknown,,65661
32,Boeing,Boeing 777,396,61723
42,Unknown,Unknown,,152670
42,Unknown,Unknown,,94163
42,Unknown,Unknown,,93387
32,Boeing,Boeing 777,396,51489
42,Unknown,Unknown,,119310
42,Unknown,Unknown,,121357
42,Unknown,Unknown,,125674
42,Unknown,Unknown,,82965
42,Unknown,Unknown,,91572
34,Boeing,Boeing 787,242,45695
42,Unknown,Unknown,,106964
42,Unknown,Unknown,,122288
19,Boeing,Boeing 737,189,50981
32,Boeing,Boeing 777,396,133872
42,Unknown,Unknown,,112461
42,Unknown,Unknown,,116766
42,Unknown,Unknown,,52001
42,Unknown,Unknown,,35006
42,Unknown,Unknown,,35007
42,Unknown,Unknown,,35524
42,Unknown,Unknown,,35525
42,Unknown,Unknown,,104827
19,Boeing,Boeing 737,189,125695
42,Unknown,Unknown,,127967
42,Unknown,Unknown,,140045
19,Boeing,Boeing 737,189,139694
3,Airbus,A320,180,55027
42,Unknown,Unknown,,77801
42,Unknown,Unknown,,147826
32,Boeing,Boeing 777,396,136040
32,Boeing,Boeing 777,396,40532
42,Unknown,Unknown,,127900
42,Unknown,Unknown,,96368
42,Unknown,Unknown,,76604
42,Unknown,Unknown,,124260
42,Unknown,Unknown,,133910
42,Unknown,Unknown,,66733
42,Unknown,Unknown,,123416
19,Boeing,Boeing 737,189,110751
42,Unknown,Unknown,,141175
42,Unknown,Unknown,,85371
32,Boeing,Boeing 777,396,59802
42,Unknown,Unknown,,102286
42,Unknown,Unknown,,72180
28,Boeing,Boeing 767,216,54790
42,Unknown,Unknown,,39127
42,Unknown,Unknown,,93057
42,Unknown,Unknown,,119296
42,Unknown,Unknown,,100781
42,Unknown,Unknown,,116952
42,Unknown,Unknown,,41332
26,Boeing,Boeing 757,200,64966
42,Unknown,Unknown,,62411
42,Unknown,Unknown,,61339
42,Unknown,Unknown,,157064
42,Unknown,Unknown,,120564
42,Unknown,Unknown,,116712
42,Unknown,Unknown,,69545
42,Unknown,Unknown,,96346
42,Unknown,Unknown,,121997
42,Unknown,Unknown,,123034
42,Unknown,Unknown,,68425
42,Unknown,Unknown,,101146
28,Boeing,Boeing 767,216,57744
42,Unknown,Unknown,,76967
42,Unknown,Unknown,,142405
42,Unknown,Unknown,,79643
42,Unknown,Unknown,,91706
42,Unknown,Unknown,,51077
19,Boeing,Boeing 737,189,103857
42,Unknown,Unknown,,137298
42,Unknown,Unknown,,105165
42,Unknown,Unknown,,118298
42,Unknown,Unknown,,58208
19,Boeing,Boeing 737,189,82308
19,Boeing,Boeing 737,189,82202
42,Unknown,Unknown,,100329
42,Unknown,Unknown,,109833
42,Unknown,Unknown,,115815
19,Boeing,Boeing 737,189,54548
42,Unknown,Unknown,,125050
42,Unknown,Unknown,,92199
42,Unknown,Unknown,,117000
42,Unknown,Unknown,,88044
42,Unknown,Unknown,,149173
42,Unknown,Unknown,,74906
42,Unknown,Unknown,,148569
42,Unknown,Unknown,,65097
42,Unknown,Unknown,,104610
42,Unknown,Unknown,,105275
28,Boeing,Boeing 767,216,67233
3,Airbus,A320,180,108507
42,Unknown,Unknown,,45208
42,Unknown,Unknown,,85262
42,Unknown,Unknown,,80992
42,Unknown,Unknown,,102559
32,Boeing,Boeing 777,396,80856
42,Unknown,Unknown,,114588
42,Unknown,Unknown,,37004
42,Unknown,Unknown,,83711
42,Unknown,Unknown,,140156
42,Unknown,Unknown,,65714
42,Unknown,Unknown,,149495
42,Unknown,Unknown,,89406
26,Boeing,Boeing 757,200,51546
42,Unknown,Unknown,,151198
42,Unknown,Unknown,,85086
42,Unknown,Unknown,,105058
42,Unknown,Unknown,,125003
3,Airbus,A320,180,131377
2,Airbus,A319,134,61525
42,Unknown,Unknown,,114777
42,Unknown,Unknown,,87206
42,Unknown,Unknown,,67806
42,Unknown,Unknown,,71298
42,Unknown,Unknown,,86284
42,Unknown,Unknown,,74577
19,Boeing,Boeing 737,189,43842
42,Unknown,Unknown,,114474
42,Unknown,Unknown,,113275
28,Boeing,Boeing 767,216,127124
42,Unknown,Unknown,,150895
42,Unknown,Unknown,,110016
42,Unknown,Unknown,,77575
42,Unknown,Unknown,,83957
32,Boeing,Boeing 777,396,76788
42,Unknown,Unknown,,116776
34,Boeing,Boeing 787,242,66563
19,Boeing,Boeing 737,189,94058
42,Unknown,Unknown,,35941
42,Unknown,Unknown,,95503
42,Unknown,Unknown,,95986
42,Unknown,Unknown,,82122
42,Unknown,Unknown,,127247
42,Unknown,Unknown,,151286
42,Unknown,Unknown,,67099
42,Unknown,Unknown,,34822
42,Unknown,Unknown,,140444
42,Unknown,Unknown,,149556
42,Unknown,Unknown,,48695
42,Unknown,Unknown,,71873
42,Unknown,Unknown,,83554
42,Unknown,Unknown,,43916
42,Unknown,Unknown,,68783
42,Unknown,Unknown,,73459
42,Unknown,Unknown,,111039
26,Boeing,Boeing 757,200,71002
42,Unknown,Unknown,,99510
42,Unknown,Unknown,,128698
42,Unknown,Unknown,,113633
42,Unknown,Unknown,,114604
19,Boeing,Boeing 737,189,114814
42,Unknown,Unknown,,86391
42,Unknown,Unknown,,85910
42,Unknown,Unknown,,127343
42,Unknown,Unknown,,120425
42,Unknown,Unknown,,72991
42,Unknown,Unknown,,130443
32,Boeing,Boeing 777,396,54735
42,Unknown,Unknown,,94631
42,Unknown,Unknown,,132466
42,Unknown,Unknown,,119417
42,Unknown,Unknown,,103943
42,Unknown,Unknown,,95640
42,Unknown,Unknown,,97067
42,Unknown,Unknown,,116189
42,Unknown,Unknown,,147882
42,Unknown,Unknown,,141386
42,Unknown,Unknown,,36252
42,Unknown,Unknown,,111143
42,Unknown,Unknown,,61214
19,Boeing,Boeing 737,189,62014
42,Unknown,Unknown,,89185
42,Unknown,Unknown,,55970
42,Unknown,Unknown,,107088
42,Unknown,Unknown,,48587
42,Unknown,Unknown,,99820
42,Unknown,Unknown,,128526
42,Unknown,Unknown,,54051
32,Boeing,Boeing 777,396,55439
42,Unknown,Unknown,,97145
42,Unknown,Unknown,,147952
42,Unknown,Unknown,,77058
19,Boeing,Boeing 737,189,77059
26,Boeing,Boeing 757,200,138059
19,Boeing,Boeing 737,189,61909
42,Unknown,Unknown,,36555
42,Unknown,Unknown,,111754
42,Unknown,Unknown,,100037
42,Unknown,Unknown,,40746
42,Unknown,Unknown,,47105
42,Unknown,Unknown,,127451
28,Boeing,Boeing 767,216,111331
42,Unknown,Unknown,,102772
42,Unknown,Unknown,,97736
42,Unknown,Unknown,,107719
32,Boeing,Boeing 777,396,97418
34,Boeing,Boeing 787,242,147163
42,Unknown,Unknown,,128741
42,Unknown,Unknown,,69968
42,Unknown,Unknown,,115005
42,Unknown,Unknown,,149821
42,Unknown,Unknown,,47313
3,Airbus,A320,180,96917
28,Boeing,Boeing 767,216,84204
19,Boeing,Boeing 737,189,56603
3,Airbus,A320,180,115744
38,Embraer,Embraer 170,76,113248
42,Unknown,Unknown,,113605
3,Airbus,A320,180,58813
42,Unknown,Unknown,,77457
42,Unknown,Unknown,,117259
42,Unknown,Unknown,,37171
19,Boeing,Boeing 737,189,61995
42,Unknown,Unknown,,55981
42,Unknown,Unknown,,45758
42,Unknown,Unknown,,49049
42,Unknown,Unknown,,108358
19,Boeing,Boeing 737,189,143604
32,Boeing,Boeing 777,396,81185
42,Unknown,Unknown,,129579
42,Unknown,Unknown,,37011
42,Unknown,Unknown,,68140
42,Unknown,Unknown,,87678
42,Unknown,Unknown,,80582
42,Unknown,Unknown,,116580
42,Unknown,Unknown,,35148
32,Boeing,Boeing 777,396,54376
42,Unknown,Unknown,,77178
32,Boeing,Boeing 777,396,101861
32,Boeing,Boeing 777,396,129073
42,Unknown,Unknown,,132550
42,Unknown,Unknown,,57287
26,Boeing,Boeing 757,200,56929
19,Boeing,Boeing 737,189,64002
42,Unknown,Unknown,,76805
32,Boeing,Boeing 777,396,144168
42,Unknown,Unknown,,94725
42,Unknown,Unknown,,99380
42,Unknown,Unknown,,104521
42,Unknown,Unknown,,100013
23,Boeing,Boeing 747,467,40142
42,Unknown,Unknown,,103012
34,Boeing,Boeing 787,242,146430
42,Unknown,Unknown,,76806
42,Unknown,Unknown,,77466
42,Unknown,Unknown,,133507
32,Boeing,Boeing 777,396,78038
42,Unknown,Unknown,,87921
42,Unknown,Unknown,,147396
42,Unknown,Unknown,,96935
42,Unknown,Unknown,,104471
42,Unknown,Unknown,,85280
42,Unknown,Unknown,,83569
42,Unknown,Unknown,,42572
42,Unknown,Unknown,,35783
42,Unknown,Unknown,,140411
42,Unknown,Unknown,,82828
32,Boeing,Boeing 777,396,54772
42,Unknown,Unknown,,107934
42,Unknown,Unknown,,50416
42,Unknown,Unknown,,124459
28,Boeing,Boeing 767,216,106761
42,Unknown,Unknown,,132798
42,Unknown,Unknown,,150143
42,Unknown,Unknown,,127209
42,Unknown,Unknown,,77219
42,Unknown,Unknown,,145165
42,Unknown,Unknown,,150533
42,Unknown,Unknown,,125702
42,Unknown,Unknown,,142752
42,Unknown,Unknown,,143283
32,Boeing,Boeing 777,396,55084
26,Boeing,Boeing 757,200,55525
42,Unknown,Unknown,,111961
42,Unknown,Unknown,,124473
42,Unknown,Unknown,,144197
42,Unknown,Unknown,,114696
42,Unknown,Unknown,,138702
42,Unknown,Unknown,,140981
42,Unknown,Unknown,,37767
42,Unknown,Unknown,,123965
42,Unknown,Unknown,,105062
42,Unknown,Unknown,,85173
42,Unknown,Unknown,,156914
42,Unknown,Unknown,,99847
42,Unknown,Unknown,,90211
42,Unknown,Unknown,,130647
42,Unknown,Unknown,,68350
42,Unknown,Unknown,,139767
42,Unknown,Unknown,,157026
42,Unknown,Unknown,,118831
42,Unknown,Unknown,,148795
42,Unknown,Unknown,,114730
42,Unknown,Unknown,,89723
42,Unknown,Unknown,,63215
42,Unknown,Unknown,,48778
42,Unknown,Unknown,,145678
42,Unknown,Unknown,,76692
42,Unknown,Unknown,,61281
42,Unknown,Unknown,,62184
42,Unknown,Unknown,,90048
42,Unknown,Unknown,,152796
42,Unknown,Unknown,,121281
3,Airbus,A320,180,66095
19,Boeing,Boeing 737,189,75879
23,Boeing,Boeing 747,467,53249
26,Boeing,Boeing 757,200,149089
42,Unknown,Unknown,,84819
34,Boeing,Boeing 787,242,90441
42,Unknown,Unknown,,98130
42,Unknown,Unknown,,144684
42,Unknown,Unknown,,105268
19,Boeing,Boeing 737,189,60835
42,Unknown,Unknown,,56223
42,Unknown,Unknown,,126657
42,Unknown,Unknown,,104401
42,Unknown,Unknown,,105317
42,Unknown,Unknown,,79261
19,Boeing,Boeing 737,189,41547
42,Unknown,Unknown,,70622
42,Unknown,Unknown,,79732
42,Unknown,Unknown,,93432
42,Unknown,Unknown,,93862
19,Boeing,Boeing 737,189,132352
42,Unknown,Unknown,,114325
42,Unknown,Unknown,,138293
42,Unknown,Unknown,,93824
42,Unknown,Unknown,,72974
42,Unknown,Unknown,,150835
42,Unknown,Unknown,,61841
42,Unknown,Unknown,,127607
19,Boeing,Boeing 737,189,112862
42,Unknown,Unknown,,41666
42,Unknown,Unknown,,120451
42,Unknown,Unknown,,62172
42,Unknown,Unknown,,140755
42,Unknown,Unknown,,49637
42,Unknown,Unknown,,99010
32,Boeing,Boeing 777,396,151421
42,Unknown,Unknown,,61803
42,Unknown,Unknown,,90898
42,Unknown,Unknown,,97294
42,Unknown,Unknown,,128686
42,Unknown,Unknown,,108955
19,Boeing,Boeing 737,189,100573
42,Unknown,Unknown,,106381
42,Unknown,Unknown,,117196
42,Unknown,Unknown,,65976
42,Unknown,Unknown,,88711
19,Boeing,Boeing 737,189,84574
32,Boeing,Boeing 777,396,67542
42,Unknown,Unknown,,96390
34,Boeing,Boeing 787,242,95388
42,Unknown,Unknown,,69781
19,Boeing,Boeing 737,189,78229
42,Unknown,Unknown,,119332
42,Unknown,Unknown,,119405
42,Unknown,Unknown,,94440
42,Unknown,Unknown,,138317
19,Boeing,Boeing 737,189,76207
42,Unknown,Unknown,,92975
42,Unknown,Unknown,,148287
28,Boeing,Boeing 767,216,103465
42,Unknown,Unknown,,51283
42,Unknown,Unknown,,103640
19,Boeing,Boeing 737,189,45933
38,Embraer,Embraer 170,76,96278
42,Unknown,Unknown,,97704
42,Unknown,Unknown,,121244
42,Unknown,Unknown,,51054
42,Unknown,Unknown,,98100
42,Unknown,Unknown,,112367
32,Boeing,Boeing 777,396,45049
42,Unknown,Unknown,,100496
42,Unknown,Unknown,,91900
42,Unknown,Unknown,,45697
42,Unknown,Unknown,,116314
42,Unknown,Unknown,,71907
42,Unknown,Unknown,,84316
42,Unknown,Unknown,,37055
42,Unknown,Unknown,,68717
42,Unknown,Unknown,,144336
23,Boeing,Boeing 747,467,43757
42,Unknown,Unknown,,37950
42,Unknown,Unknown,,116048
42,Unknown,Unknown,,53836
42,Unknown,Unknown,,62035
42,Unknown,Unknown,,57121
42,Unknown,Unknown,,151315
42,Unknown,Unknown,,126676
42,Unknown,Unknown,,116338
42,Unknown,Unknown,,109710
42,Unknown,Unknown,,40643
42,Unknown,Unknown,,110792
23,Boeing,Boeing 747,467,47963
26,Boeing,Boeing 757,200,41606
42,Unknown,Unknown,,123349
42,Unknown,Unknown,,37518
42,Unknown,Unknown,,59238
42,Unknown,Unknown,,141803
42,Unknown,Unknown,,87073
42,Unknown,Unknown,,86222
42,Unknown,Unknown,,143415
42,Unknown,Unknown,,118267
42,Unknown,Unknown,,126394
19,Boeing,Boeing 737,189,67877
34,Boeing,Boeing 787,242,94831
34,Boeing,Boeing 787,242,58523
42,Unknown,Unknown,,139750
32,Boeing,Boeing 777,396,86171
42,Unknown,Unknown,,46912
42,Unknown,Unknown,,40201
42,Unknown,Unknown,,90684
42,Unknown,Unknown,,128056
42,Unknown,Unknown,,82739
42,Unknown,Unknown,,48960
42,Unknown,Unknown,,95732
19,Boeing,Boeing 737,189,52912
42,Unknown,Unknown,,45703
42,Unknown,Unknown,,96250
42,Unknown,Unknown,,130869
42,Unknown,Unknown,,80412
42,Unknown,Unknown,,116985
32,Boeing,Boeing 777,396,54619
34,Boeing,Boeing 787,242,105769
42,Unknown,Unknown,,44937
42,Unknown,Unknown,,118216
42,Unknown,Unknown,,73501
42,Unknown,Unknown,,149639
42,Unknown,Unknown,,49778
42,Unknown,Unknown,,96561
42,Unknown,Unknown,,116186
42,Unknown,Unknown,,101331
42,Unknown,Unknown,,121961
42,Unknown,Unknown,,122794
42,Unknown,Unknown,,57893
42,Unknown,Unknown,,102606
42,Unknown,Unknown,,86841
42,Unknown,Unknown,,36621
42,Unknown,Unknown,,91111
42,Unknown,Unknown,,77532
42,Unknown,Unknown,,120728
42,Unknown,Unknown,,71349
42,Unknown,Unknown,,120192
42,Unknown,Unknown,,85135
34,Boeing,Boeing 787,242,97618
19,Boeing,Boeing 737,189,142758
28,Boeing,Boeing 767,216,142759
42,Unknown,Unknown,,140717
19,Boeing,Boeing 737,189,150722
42,Unknown,Unknown,,107110
42,Unknown,Unknown,,49953
42,Unknown,Unknown,,124270
42,Unknown,Unknown,,64160
42,Unknown,Unknown,,86117
28,Boeing,Boeing 767,216,43609
32,Boeing,Boeing 777,396,49559
42,Unknown,Unknown,,54364
42,Unknown,Unknown,,40039
42,Unknown,Unknown,,113553
42,Unknown,Unknown,,98406
42,Unknown,Unknown,,121139
32,Boeing,Boeing 777,396,155202
42,Unknown,Unknown,,140556
42,Unknown,Unknown,,114551
42,Unknown,Unknown,,105255
42,Unknown,Unknown,,74889
42,Unknown,Unknown,,74932
42,Unknown,Unknown,,81640
28,Boeing,Boeing 767,216,147676
42,Unknown,Unknown,,139753
42,Unknown,Unknown,,95283
42,Unknown,Unknown,,74248
42,Unknown,Unknown,,139848
19,Boeing,Boeing 737,189,70648
42,Unknown,Unknown,,116229
42,Unknown,Unknown,,97027
26,Boeing,Boeing 757,200,72366
42,Unknown,Unknown,,107700
32,Boeing,Boeing 777,396,83239
42,Unknown,Unknown,,76295
42,Unknown,Unknown,,134532
42,Unknown,Unknown,,102751
19,Boeing,Boeing 737,189,43113
